assigned,school_name,D2,instr_overall_ratio,instr_only_ratio,school_total,instruction,instructional_support,administration,grade,pta,magnet,debate
KAT,APOPKA HIGH,,0.78,0.71,"16,085,278","11,390,748","1,206,985","1,393,722",B,0,2,1
KAT,BOONE HIGH,,0.71,0.64,"15,085,837","9,589,988","1,109,419","1,269,741",B,0,1,1
KAT,COLONIAL HIGH,1,0.76,0.68,"18,157,244","12,425,482","1,422,030","1,635,606",C,1,3,1
KAT,CYPRESS CREEK HIGH,,0.78,0.71,"17,414,129","12,400,986","1,226,816","1,541,303",C,1,1,0
KAT,DR PHILLIPS HIGH,,0.75,0.68,"16,214,998","10,990,551","1,129,251","1,314,402",C,0,2,0
KAT,EAST RIVER HIGH,,0.71,0.64,"11,924,394","7,643,221","873,318","1,077,952",B,1,1,0
KAT,EDGEWATER HIGH,,0.71,0.64,"11,221,629","7,176,776","795,583","1,077,148",C,0,2,1
KAT,EVANS HIGH,,0.75,0.68,"12,881,328","8,754,711","893,149","1,266,676",C,1,2,0
KAT,FREEDOM HIGH,,0.77,0.69,"13,718,812","9,484,641","1,011,854","1,269,383",B,1,0,0
KAT,HORIZON HIGH,,0.73,0.65,"10,805,400","6,991,236","873,318","1,077,267",B,0,0,1
KAT,JONES HIGH,,0.71,0.63,"9,302,921","5,893,395","698,018","1,033,220",C,1,2,0
KAT,LAKE BUENA VISTA HIGH,,0.74,0.65,"9,489,691","6,211,022","775,752","1,034,763",C,1,0,1
KAT,LAKE NONA HIGH,1,0.79,0.73,"20,057,012","14,547,270","1,324,382","1,588,840",A,1,0,1
KAT,OAK RIDGE HIGH,,0.78,0.71,"12,657,544","8,947,356","893,149","1,267,730",C,0,4,0
KAT,OCOEE HIGH,,0.77,0.70,"13,035,569","9,127,109","893,149","1,267,239",C,0,0,1
KAT,OLYMPIA HIGH,,0.77,0.70,"14,325,275","9,956,467","1,031,685","1,271,432",B,1,0,0
KAT,TIMBER CREEK HIGH,,0.72,0.65,"17,934,303","11,743,564","1,129,251","1,434,058",A,1,0,1
KAT,UNIVERSITY HIGH,,0.75,0.68,"13,369,065","9,086,685","970,883","1,267,457",B,1,2,0
KAT,WEKIVA HIGH,,0.76,0.68,"11,840,558","8,060,929","970,883","1,224,774",C,0,2,0
KAT,WEST ORANGE HIGH,,0.76,0.69,"13,601,025","9,320,181","970,883","1,268,844",B,0,0,0
KAT,WINDERMERE HIGH,,0.76,0.70,"16,204,293","11,286,451","1,031,685","1,272,231",A,0,0,0
KAT,WINTER PARK HIGH,,0.73,0.66,"18,873,432","12,475,773","1,266,562","1,489,096",A,0,0,1
KAT,APOPKA MIDDLE,,0.77,0.67,"6,243,063","4,209,752","567,749","669,415",C,0,0,0
KAT,AVALON MIDDLE,,0.72,0.64,"5,705,328","3,628,871","490,015","648,245",A,0,0,0
KAT,BRIDGEWATER MIDDLE,,0.76,0.68,"7,158,160","4,856,521","587,580","691,343",A,0,0,0
KAT,CARVER MIDDLE,,0.57,0.50,"6,087,188","3,013,333","451,147","646,100",C,0,0,0
KAT,CHAIN OF LAKES MIDDLE,,0.75,0.67,"7,484,970","5,020,952","587,580","711,852",C,1,0,0
KAT,COLLEGE PARK MIDDLE,,0.73,0.63,"5,801,117","3,636,177","606,616","647,504",C,0,0,0
KAT,CONWAY MIDDLE,,0.68,0.58,"4,849,175","2,834,563","451,147","645,876",C,1,0,0
KAT,CORNER LAKE MIDDLE,,0.70,0.61,"5,986,383","3,649,713","567,749","647,925",B,1,0,0
KAT,DISCOVERY MIDDLE,,0.73,0.62,"6,053,409","3,771,861","645,483","648,299",A,1,0,0
KAT,FREEDOM MIDDLE,,0.79,0.70,"7,508,696","5,232,549","665,315","692,307",B,1,0,1
KAT,GLENRIDGE MIDDLE,,0.77,0.69,"7,192,591","4,929,490","626,448","691,495",C,0,0,1
KAT,GOTHA MIDDLE,,0.78,0.68,"7,141,403","4,843,062","704,182","671,062",B,0,0,0
KAT,HAMLIN MIDDLE,,0.71,0.61,"4,831,068","2,971,044","451,147","646,147",A,0,0,0
KAT,HORIZON WEST MIDDLE,,0.78,0.70,"7,802,919","5,489,925","587,580","713,321",A,0,0,0
KAT,HOWARD MIDDLE,,0.74,0.66,"6,286,677","4,119,524","548,713","669,544",A,1,1,0
AREISHA,HUNTERS CREEK MIDDLE,,0.75,0.67,"7,469,526","4,994,449","587,580","711,743",A,1,1,0
AREISHA,INNOVATION MIDDLE,1,0.78,0.70,"7,996,561","5,588,399","665,315","713,184",A,1,0,1
AREISHA,LAKE NONA MIDDLE,1,0.80,0.73,"9,785,400","7,125,297","726,116","932,993",A,1,0,0
AREISHA,LAKEVIEW MIDDLE,,0.71,0.62,"5,645,798","3,525,404","490,015","647,735",B,0,1,0
AREISHA,LEGACY MIDDLE,,0.68,0.59,"4,958,968","2,922,583","451,147","645,984",C,1,0,0
AREISHA,LIBERTY MIDDLE,1,0.74,0.64,"6,169,563","3,977,834","567,749","649,038",C,1,1,0
AREISHA,LOCKHART MIDDLE,,0.77,0.70,"3,575,999","2,517,153","228,882","308,298",B,1,1,0
AREISHA,MAITLAND MIDDLE,,0.70,0.61,"5,299,738","3,221,623","490,015","646,965",C,0,0,0
AREISHA,MEADOW WOODS MIDDLE,,0.82,0.77,"5,555,571","4,250,797","308,152","435,460",B,1,0,0
AREISHA,MEADOWBROOK MIDDLE,,0.71,0.63,"6,185,444","3,895,980","490,015","648,767",C,0,0,0
AREISHA,MEMORIAL MIDDLE,,0.75,0.65,"6,177,236","4,041,119","567,749","649,303",C,0,0,0
AREISHA,OCOEE MIDDLE,,0.81,0.75,"5,020,771","3,785,064","268,517","434,878",C,0,0,0
AREISHA,ODYSSEY MIDDLE,1,0.69,0.60,"5,442,091","3,243,208","528,882","4,418,868",B,0,0,0
AREISHA,PIEDMONT LAKES MIDDLE,,0.75,0.65,"6,913,844","4,521,084","645,483","670,048",C,0,0,0
AREISHA,ROBERTO CLEMENTE MIDDLE,1,0.73,0.65,"6,045,802","3,918,012","490,015","668,957",C,1,1,0
AREISHA,ROBINSWOOD MIDDLE,,0.75,0.66,"6,642,634","4,415,873","548,713","670,284",C,0,0,0
AREISHA,SOUTH CREEK MIDDLE,,0.94,0.83,"6,908,608","5,724,000","764,984","733,801",C,1,0,0
AREISHA,SOUTHWEST MIDDLE,,0.77,0.68,"8,470,730","5,724,000","764,984","733,801",C,1,0,1
AREISHA,SUNRIDGE MIDDLE,,0.79,0.74,"4,720,585","3,474,999","268,517","434,609",A,0,0,0
AREISHA,TIMBER SPRINGS MIDDLE,,0.73,0.64,"6,265,402","4,036,999",548713,"669,348",A,1,0,1
AREISHA,UNION PARK MIDDLE,,0.68,0.59,"5,151,507","3,060,453","451,147","646,281",C,1,0,0
AREISHA,WALKER MIDDLE,,0.65,0.58,"6,678,209",3877821,"490,015","648,825",A,1,0,0
AREISHA,WATER SPRING MIDDLE,,0.85,0.80,"3,305,364","2,660,723","155,469","276,283",A,1,0,0
AREISHA,WESTRIDGE MIDDLE,,0.77,0.69,"7,428,108",5112871,"587,580","711,819",C,0,0,0
AREISHA,WOLF LAKE MIDDLE,,0.76,0.67,"7,015,681","4,730,801","587,580","691,155",B,0,0,0
AREISHA,ALOMA ELEMENTARY,,0.78,0.73,"4,149,543","3,013,623","228,882","334,367",C,0,0,0
AREISHA,ANDOVER ELEMENTARY,1,0.78,0.73,"6,162,815","4,514,773","268,517","486,130",A,1,0,0
AREISHA,APOPKA ELEMENTARY,,0.82,0.78,"6,087,776","4,721,265","268,517","511,642",B,1,0,0
AREISHA,AVALON ELEMENTARY,,0.78,0.73,"4,890,908","3,569,189","268,517","434,472",C,0,0,0
AREISHA,AZALEA PARK ELEMENTARY,,0.78,0.71,"3,706,352","2,634,021","268,517","308,651",B,1,0,0
AREISHA,BALDWIN PARK ELEMENTARY,,0.81,0.77,"6,201,285","4,754,585","268,517","486,634",A,1,0,0
AREISHA,BAY LAKE ELEMENTARY,,0.81,0.76,"4,923,904","3,754,181","228,882","435,063",A,0,0,0
AREISHA,BAY MEADOWS ELEMENTARY,,0.79,0.75,"5,262,123","3,929,016","228,882","435,122",A,1,0,0
AREISHA,BONNEVILLE ELEMENTARY,,0.79,0.72,"4,222,023","3,053,378","268,517","309,494",B,1,0,0
AREISHA,BROOKSHIRE ELEMENTARY,,0.79,0.74,"4,903,716",3615804,"268,517","434,008",B,0,0,0
AREISHA,CAMELOT ELEMENTARY,,0.79,0.74,"5,077,896","3,757,776","268,517","434,538",C,1,0,0
AREISHA,CASTLE CREEK ELEMENTARY,,0.76,0.71,"3,844,960","2,719,091","189,247","334,004",B,1,0,0
AREISHA,CASTLEVIEW ELEMENTARY,,0.80,0.75,"4,770,146","3,576,590","228,882","434,973",A,0,0,0
DIEGO,CATALINA ELEMENTARY,,0.77,0.70,"4,730,710","3,312,082","307,506","434,409",,,,0
DIEGO,CHENEY ELEMENTARY,,0.73,0.65,"3,258,462","2,126,929","267,780","308,402",,,,0
DIEGO,CHICKASAW ELEMENTARY,1,0.77,0.70,"3,929,975","2,734,651","307,506","309,804",,,,0
DIEGO,CITRUS ELEMENTARY,,0.78,0.72,"4,382,691","3,142,067","267,780","310,476",,,,0
DIEGO,CLAY SPRINGS ELEMENTARY,,0.81,0.75,"5,034,468","3,756,377","307,506","435,896",,,,0
DIEGO,COLUMBIA ELEMENTARY,,0.73,0.66,"3,731,196","2,448,325","267,780","408,196",,,,0
DIEGO,CONWAY ELEMENTARY,,0.82,0.74,"4,666,961","3,476,463","347,232","311,091",,,,0
DIEGO,CYPRESS SPRINGS ELEMENTARY,1,0.81,0.76,"6,060,791","4,603,850","307,506","487,094",,,,0
DIEGO,DEERWOOD ELEMENTARY,1,0.76,0.70,"4,489,576","3,144,388","267,780","409,274",,,,0
DIEGO,DILLARD STREET ELEMENTARY,,0.77,0.71,"4,376,348","3,103,531","267,780","409,238",,,,0
DIEGO,DOMMERICH ELEMENTARY,,0.77,0.71,"4,409,381","3,145,430","267,780","434,448",,,,0
DIEGO,DOVER SHORES ELEMENTARY,,0.77,0.68,"3,428,961","2,321,775","307,506","308,621",,,,0
DIEGO,DR PHILLIPS ELEMENTARY,,0.80,0.74,"5,260,912","3,895,916","307,506","436,140",,,,0
DIEGO,DREAM LAKE ELEMENTARY,,0.80,0.74,"5,614,226","4,153,521","347,232","436,666",,,,0
DIEGO,EAGLE CREEK ELEMENTARY,1,0.82,0.76,"6,155,853","4,708,445","347,232","512,375",,,,0
DIEGO,EAGLES NEST ELEMENTARY,,0.79,0.74,"4,927,947","3,624,677","267,780","435,493",,,,0
DIEGO,EAST LAKE ELEMENTARY,,0.75,0.68,"3,955,317","2,701,414","267,780","408,466",,,,0
DIEGO,ECCLESTON ELEMENTARY,,0.70,0.62,"2,971,659","1,855,995","228,054","407,312",,,,0
DIEGO,ENDEAVOR ELEMENTARY,,0.80,0.73,"5,135,386","3,764,367","347,232","435,488",,,,0
DIEGO,ENGELWOOD ELEMENTARY,1,0.76,0.69,"4,323,501","2,978,440","307,506","433,913",,,,0
DIEGO,FORSYTH WOODS ELEMENTARY,1,0.77,0.69,"3,915,796","2,717,473","307,506","309,510",,,,0
DIEGO,FRANGUS ELEMENTARY,,0.80,0.74,"3,960,201","2,919,503","267,780","309,525",,,,0
DIEGO,HAMLIN ELEMENTARY,,0.74,0.69,"5,256,190","3,621,743","267,780","435,922",,,,0
DIEGO,HIAWASSEE ELEMENTARY,,0.78,0.71,"4,497,054","3,207,702","307,506","409,711",,,,0
DIEGO,HIDDEN OAKS ELEMENTARY,1,0.76,0.69,"4,257,036","2,946,445","307,506","408,769",,,,0
DIEGO,HUNGERFORD ELEMENTARY,,0.65,0.56,"2,741,406","1,525,947","267,780","308,402",,,,0
DIEGO,HUNTERS CREEK ELEMENTARY,,0.82,0.76,"6,175,635","4,700,207","386,958","487,556",,,,0
DIEGO,INDEPENDENCE ELEMENTARY,,0.81,0.77,"5,798,632","4,444,531","267,780","512,240",,,,0
DIEGO,IVEY LANE ELEMENTARY,,0.68,0.60,"2,881,752","1,736,893","228,054","407,312",,,,0
DIEGO,JOHN YOUNG ELEMENTARY,,0.82,0.75,"5,500,080","4,142,045","347,232","436,052",,,,0
DIEGO,JUVENILE DETENTION,,0.85,0.70,"1,614,989","1,123,195","247,646","226,323",,,,0
DIEGO,KEENES CROSSING ELEMENTARY,,0.82,0.78,"7,269,116","5,643,922","347,232","514,475",,,,0
DIEGO,KILLARNEY ELEMENTARY,,0.73,0.65,"3,007,054","1,941,300","267,780","308,402",,,,0
DIEGO,LAKE GEM ELEMENTARY,,0.80,0.74,"4,839,256","3,572,384","307,506","335,867",,,,0
DIEGO,LAKE GEORGE ELEMENTARY,,0.75,0.66,"3,646,623","2,424,166","307,506","309,111",,,,0
DIEGO,LAKE SILVER ELEMENTARY,,0.74,0.67,"4,112,389","2,745,718","307,506","309,315",,,,0
DIEGO,LAKE SYBELIA ELEMENTARY,,0.77,0.69,"4,301,382","2,987,659","307,506","408,960",,,,0
DIEGO,LAKE WESTON ELEMENTARY,,0.75,0.69,"3,709,139","2,542,591","228,054","408,423",,,,0
NANDANA,LAKE WHITNEY ELEMENTARY,,0.78,0.72,"4,652,479","3,357,368","267,780","434,818",A,0,0,0
NANDANA,LAKEMONT ELEMENTARY,,0.82,0.76,"4,980,322","3,793,001","307,506","435,722",A,0,0,0
NANDANA,LAKEVILLE ELEMENTARY,,0.77,0.72,"4,797,975","3,460,253","228,054","435,263",C,0,0,0
NANDANA,LANCASTER ELEMENTARY,,0.80,0.72,"3,841,338","2,768,438","307,506","310,039",C,0,0,0
NANDANA,LAUREATE PARK ELEMENTARY,1,0.83,0.78,"7,892,762","6,181,846","342,290","639,763",A,1,0,0
NANDANA,LAWTON CHILES ELEMENTARY,,0.75,0.67,"4,033,118","2,698,041","307,506","408,892",B,1,0,0
NANDANA,LITTLE RIVER ELEMENTARY,1,0.77,0.69,"3,451,653","2,398,587","267,780","308,602",B,1,0,0
NANDANA,LOCKHART ELEMENTARY,,0.77,0.70,"3,744,740","2,621,444","267,780","309,053",C,0,0,0
NANDANA,LOVELL ELEMENTARY,,0.79,0.73,"4,476,585","3,274,843","267,780","434,910",C,0,0,0
NANDANA,MAXEY ELEMENTARY,,0.74,0.67,"3,868,351","2,602,253","267,780","309,244",A,0,1,0
NANDANA,MCCOY ELEMENTARY,1,0.75,0.66,"3,625,775","2,408,283","307,506","309,172",B,0,0,0
NANDANA,MEADOW WOODS ELEMENTARY,,0.82,0.76,"5,587,960","4,241,457","347,232","436,413",C,0,0,0
NANDANA,METROWEST ELEMENTARY,,0.78,0.72,"4,932,686","3,530,470","307,506","435,195",C,0,0,0
NANDANA,MILLENNIA ELEMENTARY,,0.80,0.74,"6,503,289","4,805,858","386,958","512,629",C,0,0,0
NANDANA,MILLENNIA GARDENS ELEMENTARY,,0.81,0.75,"6,036,051","4,544,530","347,232","512,027",C,0,0,0
NANDANA,MOLLIE RAY ELEMENTARY,,0.72,0.65,"3,357,362","2,174,243","228,054","407,312",C,1,0,0
NANDANA,MOSS PARK ELEMENTARY,1,0.82,0.78,"6,788,917","5,272,551","307,506","513,809",A,1,0,0
NANDANA,NORTHLAKE PARK COMMUNITY ELEMENTARY,1,0.73,0.67,"4,887,850","3,281,079","267,780","434,799",A,1,0,0
NANDANA,OAKSHIRE ELEMENTARY,,0.76,0.68,"3,947,348","2,699,827","307,506","408,684",A,0,0,0
NANDANA,OCOEE ELEMENTARY,,0.80,0.74,"5,022,005","3,694,769","307,506","435,696",C,0,0,0
NANDANA,ORLO VISTA ELEMENTARY,,0.73,0.66,"3,464,507","2,273,947","267,780","407,500",C,1,0,0
NANDANA,PALM LAKE ELEMENTARY,,0.79,0.72,"5,172,113","3,727,035","347,232","435,461",A,1,0,0
NANDANA,PALMETTO ELEMENTARY,,0.79,0.73,"6,131,154","4,491,632","347,232","487,412",C,0,0,0
NANDANA,PANTHER LAKE ELEMENTARY,,0.80,0.74,"4,581,390","3,383,566","267,780","435,317",A,0,0,0
NANDANA,PINAR ELEMENTARY,1,0.76,0.68,"3,360,641","2,280,899","267,780","308,402",B,1,0,0
NANDANA,PINE HILLS ELEMENTARY,,0.80,0.74,"4,694,312","3,489,607","267,780","435,192",C,1,0,0
NANDANA,PINELOCH ELEMENTARY,,0.81,0.76,"5,732,688","4,334,522","307,506","487,009",C,0,0,0
NANDANA,PINEWOOD ELEMENTARY,,0.81,0.75,"4,417,919","3,294,610","267,780","310,510",C,1,0,0
NANDANA,PRAIRIE LAKE ELEMENTARY,,0.81,0.76,"5,895,755","4,479,142","267,780","512,210",B,0,0,0
NANDANA,PRINCETON ELEMENTARY,,0.77,0.70,"4,044,242","2,837,777","267,780","408,952",A,1,0,0
NANDANA,RIDGEWOOD PARK ELEMENTARY,,0.77,0.69,"3,791,789","2,612,633","307,506","309,209",B,0,0,0
NANDANA,RIVERDALE ELEMENTARY,,0.79,0.72,"4,616,078","3,316,909","307,506","335,677",B,0,0,0
NANDANA,RIVERSIDE ELEMENTARY,,0.80,0.73,"4,008,000","2,925,558","267,780","310,184",C,1,0,0
NANDANA,ROCK LAKE ELEMENTARY,,0.65,0.56,"2,645,019","1,481,748","228,054","407,312",A,0,0,0
NANDANA,ROCK SPRINGS ELEMENTARY,,0.81,0.75,"6,003,584","4,527,563","347,232","487,261",B,0,0,0
NANDANA,ROLLING HILLS ELEMENTARY,,0.77,0.70,"3,996,895","2,801,977","267,780","408,487",C,1,0,0
NANDANA,ROSEMONT ELEMENTARY,,0.72,0.67,"4,306,796","2,874,394","228,054","433,583",C,0,0,0
NANDANA,SADLER ELEMENTARY,,0.79,0.74,"5,272,625","3,876,253","307,506","436,333",C,0,0,0
MEGHA,SALLY RIDE ELEMENTARY,,0.74,0.67,"3,855,386","2,596,018","267,780","407,886",C,1,1,0
MEGHA,SAND LAKE ELEMENTARY,,0.81,0.75,"6,125,203","4,622,834","347,232","487,437",A,1,0,0
MEGHA,SHENANDOAH ELEMENTARY,,0.77,0.70,"4,301,348","3,002,990","307,506","408,743",B,0,0,0
MEGHA,SHINGLE CREEK ELEMENTARY,,0.82,0.76,"5,440,790","4,139,527","307,506","436,466",C,1,0,0
MEGHA,SOUTHWOOD ELEMENTARY,,0.76,0.69,"4,264,554","2,933,420","307,506","409,199",A,1,0,0
MEGHA,SPRING LAKE ELEMENTARY,,0.78,0.70,"3,801,639","2,656,356","307,506","309,449",C,0,0,0
MEGHA,STONE LAKES ELEMENTARY,1,0.76,0.70,"5,087,649","3,567,869","307,506","434,967",A,1,0,0
MEGHA,STONEWYCK ELEMENTARY,,0.78,0.73,"4,759,015","3,465,617","267,780","435,539",A,1,0,0
MEGHA,SUMMERLAKE ELEMENTARY,,0.80,0.74,"5,246,380","3,904,424","267,780","436,442",A,0,0,0
MEGHA,SUN BLAZE ELEMENTARY,1,0.84,0.79,"8,324,891","6,615,154","382,016","640,722",A,1,0,0
MEGHA,SUNRIDGE ELEMENTARY,,0.78,0.71,"4,855,118","3,464,110","307,506","435,572",B,0,0,0
MEGHA,SUNRISE ELEMENTARY,,0.79,0.72,"3,930,554","2,830,297","267,780","408,756",C,0,0,0
MEGHA,SUNSET PARK ELEMENTARY,,0.80,0.75,"6,110,382","4,568,619","347,232","487,409",A,0,0,0
MEGHA,SUNSHINE ELEMENTARY,,0.83,0.79,"7,190,098","5,660,532","307,506","638,287",C,1,0,0
MEGHA,TANGELO PARK ELEMENTARY,,0.79,0.72,"3,623,486","2,618,078","228,054","309,517",C,0,0,0
MEGHA,THORNEBROOKE ELEMENTARY,,0.78,0.72,"4,890,709","3,530,840","307,506","435,026",A,0,0,0
MEGHA,THREE POINTS ELEMENTARY,1,0.75,0.67,"3,719,325","2,482,650","307,506","309,141",C,1,0,0
MEGHA,TILDENVILLE ELEMENTARY,,0.75,0.69,"4,441,336","3,042,567","267,780","434,077",A,0,1,0
MEGHA,UNION PARK ELEMENTARY,,0.74,0.66,"3,459,373","2,290,434","267,780","308,876",C,1,1,0
MEGHA,VENTURA ELEMENTARY,1,0.77,0.70,"4,273,008","2,986,000","307,506","433,880",C,0,0,0
MEGHA,VILLAGE PARK ELEMENTARY,1,0.79,0.73,"4,441,513","3,222,967","267,780","434,875",A,1,0,0
MEGHA,VISTA LAKES ELEMENTARY,1,0.79,0.73,"5,137,754","3,726,256","347,232","435,461",B,1,0,0
MEGHA,VISTA POINTE ELEMENTARY,1,0.77,0.70,"4,132,741","2,878,001","307,506","433,745",A,0,0,0
MEGHA,WASHINGTON SHORES ELEMENTARY,,0.69,0.61,"2,891,481","1,775,534","228,054","407,312",B,0,0,0
MEGHA,WATER SPRING ELEMENTARY,,0.84,0.79,"8,586,736","6,786,790","421,742","640,904",A,0,0,0
MEGHA,WATERBRIDGE ELEMENTARY,,0.75,0.69,"4,018,569","2,760,485","267,780","433,565",A,1,0,0
MEGHA,WATERFORD ELEMENTARY,,0.73,0.66,"3,978,355","2,640,939","267,780","408,574",A,1,0,0
MEGHA,WEST CREEK ELEMENTARY,,0.80,0.74,"5,051,372","3,724,292","307,506","307,506",A,1,0,0
MEGHA,WEST OAKS ELEMENTARY,,0.75,0.68,"3,485,291","2,371,808","228,054","308,753",C,0,0,0
MEGHA,WESTBROOKE ELEMENTARY,,0.73,0.68,"4,012,357","2,720,001","228,054","433,394",A,0,0,0
MEGHA,WESTPOINTE ELEMENTARY,,0.82,0.77,"5,200,367","3,980,137","307,506","436,537",A,1,0,0
MEGHA,WETHERBEE ELEMENTARY,,0.82,0.78,"6,597,728","5,125,290","307,506","513,795",A,0,0,0
MEGHA,WHEATLEY ELEMENTARY,,0.73,0.66,"3,191,903","2,097,870","228,054","407,312",C,0,0,0
MEGHA,WHISPERING OAK ELEMENTARY,,0.79,0.74,"5,381,258","3,997,356","267,780","436,396",A,0,0,0
MEGHA,WINDERMERE ELEMENTARY,,0.77,0.71,"4,388,380","3,099,161","267,780","434,307",A,0,0,0
MEGHA,WINEGARD ELEMENTARY,,0.77,0.71,"4,637,590","3,279,220","307,506","434,953",C,1,0,0
MEGHA,WOLF LAKE ELEMENTARY,,0.79,0.74,"5,338,303","3,958,819","267,780","436,248",A,0,0,0
MEGHA,WYNDHAM LAKES ELEMENTARY,,0.80,0.73,"5,263,444","3,868,057","347,232","435,852",B,0,0,0
MEGHA,ZELLWOOD ELEMENTARY,,0.77,0.70,"3,816,758","2,684,247","267,780","309,955",B,0,0,0
MEGHA,HILLCREST ELEMENTARY,,0.72,0.66,"3,980,085","2,613,311","267,780","408,789",B,1,1,0
MEGHA,OAK HILL ELEMENTARY,,0.79,0.70,"3,716,780","2,612,436","307,506","309,259",B,0,0,0